architecture,architecture_label,status,is_feasible,mu_europe,portfolio_risk_factor,te_cvar_limit,turnover_limit,expected_return,portfolio_cvar,te_cvar,bm_dist_l2,bm_dist_l1,turnover,herfindahl,effective_n,instability_score,max_adjacent_jump,objective_loss_pct,max_weight
B,Architecture B: Stronger Single-Stage,optimal,True,0.061,1.1,0.01,0.2,0.06725680319657891,0.2780764358828258,0.00999999242160646,0.06176471775263985,0.12225405137453356,0.12225405137453356,0.3582555501980895,2.7913035804946276,0.006639692298376859,0.0014426337309702553,,0.4368165708040701
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.061,1.1,0.01,0.2,0.06692051918041984,0.2770209385641059,0.006700974645873199,0.03354699233067373,0.06270014326207576,0.06270014326207576,0.3510981722413822,2.8482062256721,0.003993803511825319,0.0009245233265345876,0.00500000000261939,0.4102698645946274
A,Architecture A: Standard Optimization,optimal,True,0.0605,1.1,0.01,0.2,0.06792499997595784,0.28182175654775743,0.02656516506550645,0.12247448573019323,0.19999999771258287,0.19999999771258287,0.3449999993017971,2.8985507305037004,3.513667122332433e-09,8.109549143320294e-10,,0.39999999997987795
B,Architecture B: Stronger Single-Stage,optimal,True,0.0605,1.1,0.01,0.2,0.06707235015518205,0.2780207610819444,0.009999994425756211,0.06245108377116227,0.12344004188565502,0.12344004188565502,0.3578299156939145,2.7946238034927013,0.006332268749499055,0.0014196583232299331,,0.43754511033576327
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0605,1.1,0.01,0.2,0.06673698840437078,0.277039901527696,0.006817702914076081,0.034293810601060994,0.06460834429255344,0.06460834429255344,0.3508848094166586,2.8499381368560437,0.004010388368672927,0.0009404539129278522,0.0050000000005271375,0.4106768047149695
A,Architecture A: Standard Optimization,optimal,True,0.06,1.1,0.01,0.2,0.06774999996849197,0.2818217564720364,0.02656516497539025,0.1224744854603714,0.199999997258934,0.199999997258934,0.3449999987418277,2.898550735208337,3.755518766303768e-09,8.675564406532972e-10,,0.399999999999425
B,Architecture B: Stronger Single-Stage,optimal,True,0.06,1.1,0.01,0.2,0.06688858009502617,0.2779620034154001,0.009999999592905477,0.06288394185880292,0.12421608803932865,0.12421608803932865,0.35717445371091366,2.7997523048201263,0.005384599425786582,0.0012709509634893923,,0.4377498039288953
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.06,1.1,0.01,0.2,0.06655413719454674,0.27705693845794704,0.006932874865498123,0.035046713419699886,0.0664964635739286,0.0664964635739286,0.35066136971716005,2.8517541034148985,0.004028117760577258,0.0009534686165788564,0.005000000000064294,0.4110827441709482
A,Architecture A: Standard Optimization,optimal,True,0.07,1.1,0.01,0.3,0.07124999990883833,0.28142049760143534,0.02831911532773399,0.1275924156342304,0.2211312137092763,0.2211312137092763,0.346279821783588,2.887837919198661,,,,0.41056560891433996
B,Architecture B: Stronger Single-Stage,optimal,True,0.07,1.1,0.01,0.3,0.0707320701233208,0.2786586145718781,0.00999997475348926,0.05041553637385529,0.08454796157150157,0.08454796157150157,0.3673374717044345,2.7222923797020515,,,,0.41887596443404895
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.07,1.1,0.01,0.3,0.07037840977351331,0.2766848344738495,0.00529322373681557,0.02522731823422023,0.04204553094231242,0.04204553094231242,0.354045524270504,2.8244955279704724,,,0.0049999999885609195,0.4042045540341582
A,Architecture A: Standard Optimization,optimal,True,0.0695,1.1,0.01,0.3,0.07109999999353968,0.2825713918985126,0.028680884330236727,0.15811387875268898,0.29999999099470775,0.29999999099470775,0.3549999985834101,2.816901419691251,0.4880602074612165,0.11056560792148074,,0.44999999567592397
B,Architecture B: Stronger Single-Stage,optimal,True,0.0695,1.1,0.01,0.3,0.07053062481303675,0.2786643477305204,0.009999997191436521,0.050782558626779425,0.08417803905907112,0.08417803905907112,0.36701197690033194,2.7247067205972035,0.0075972421646711055,0.0018008736127521074,,0.42002554903544753
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0695,1.1,0.01,0.3,0.0701779716898571,0.27669212120631137,0.005314337378664645,0.025328609739305296,0.04200864209062627,0.04200864209062627,0.3538735356496945,2.825868281345337,0.0025201939952637733,0.0005977504355506591,0.004999999987444767,0.40445546322635595
A,Architecture A: Standard Optimization,optimal,True,0.069,1.1,0.01,0.3,0.0709499996670758,0.2825713896116676,0.02868087902420151,0.15811383929155778,0.299999905525169,0.299999905525169,0.3549999812520907,2.8169015572141265,1.6122671548736665e-07,3.043193624874263e-08,,0.4499999652439877
B,Architecture B: Stronger Single-Stage,optimal,True,0.069,1.1,0.01,0.3,0.07033002654629321,0.27866231052806917,0.009999998877972363,0.05112180688058987,0.08361096830728756,0.08361096830728756,0.36656316620554147,2.7280427827799647,0.007566301559799868,0.0018082260130848904,,0.42098042605319674
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.069,1.1,0.01,0.3,0.06997837641760324,0.27670062456888633,0.005342391248447053,0.025466760553394006,0.04199421473137359,0.04199421473137359,0.3537045916859956,2.8272180330860928,0.0025647927847358594,0.0006072161994987169,0.004999999942535274,0.4047136421267919
A,Architecture A: Standard Optimization,optimal,True,0.0685,1.1,0.01,0.3,0.07079999997184437,0.28257139182764923,0.028680884322014655,0.15811388063809867,0.2999999947118448,0.2999999947118448,0.35499999874701793,2.8169014183930337,1.7069085895856542e-07,3.3100869878399664e-08,,0.4499999983448576
B,Architecture B: Stronger Single-Stage,optimal,True,0.0685,1.1,0.01,0.3,0.07013032459379158,0.27865901301570895,0.009999983316130098,0.051590486432561915,0.08642117538722296,0.08642117538722296,0.36623844252504095,2.7304615897377476,0.007947613857557078,0.0018816974980269685,,0.42222830170264036
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0685,1.1,0.01,0.3,0.06977967297242234,0.27671051139688774,0.005377296511633169,0.025644946107411835,0.042005452162761976,0.042005452162761976,0.35353910059531884,2.828541449350626,0.0026264552977493796,0.0006178344971639049,0.004999999977189373,0.40498003222078843
A,Architecture A: Standard Optimization,optimal,True,0.068,1.1,0.01,0.3,0.0706499997767031,0.2825713906425643,0.02868088205785646,0.15811386797473237,0.2999999657993275,0.2999999657993275,0.35499999105578356,2.816901479422469,5.40745723224388e-08,1.0124541025707565e-08,,0.4499999906894452
B,Architecture B: Stronger Single-Stage,optimal,True,0.068,1.1,0.01,0.3,0.06993179002708153,0.2786472089781792,0.009999987065953059,0.0522349119156849,0.09049835821591212,0.09049835821591212,0.3656899756134448,2.7345567740064527,0.010570140521934755,0.0025189877902702107,,0.4237086987551102
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.068,1.1,0.01,0.3,0.06958213107700278,0.27672310791112475,0.005422143505360797,0.025881182283341884,0.042069476435037,0.042069476435037,0.35338257300835235,2.8297943259821263,0.0027381382380056714,0.0006288571843281465,0.004999999999189681,0.40525868470566784
A,Architecture A: Standard Optimization,optimal,True,0.0675,1.1,0.01,0.3,0.07049999997325852,0.28257139184434454,0.028680884356021473,0.15811388095502213,0.29999999543201933,0.29999999543201933,0.3549999989105291,2.8169014170955835,5.52494512128447e-08,1.0245841831225589e-08,,0.4499999986617059
B,Architecture B: Stronger Single-Stage,optimal,True,0.0675,1.1,0.01,0.3,0.0697343043236924,0.2786343468062704,0.009999992479526376,0.052625541829734473,0.0929268400681565,0.0929268400681565,0.3652411560239238,2.737917081651386,0.006671136669190906,0.0015999354561316848,,0.42448334958413314
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0675,1.1,0.01,0.3,0.06938563280213098,0.2767378085568602,0.005474929108679114,0.026167157895149205,0.04216991799827917,0.04216991799827917,0.35323091607633134,2.8310092760507555,0.0028441677137008487,0.0006431601875043769,0.0049999999991821205,0.40554867360463004
A,Architecture A: Standard Optimization,optimal,True,0.067,1.1,0.01,0.3,0.07034999998863788,0.2825713919397128,0.028680884570556047,0.1581138823473111,0.29999999844147357,0.29999999844147357,0.3549999995466387,2.816901412048096,5.448890368676117e-09,9.153956481711134e-10,,0.4499999995771016
B,Architecture B: Stronger Single-Stage,optimal,True,0.067,1.1,0.01,0.3,0.06953777052422266,0.2786152025860768,0.009999997784364096,0.0533036698865892,0.09635831478905432,0.09635831478905432,0.3647485334252264,2.741614861640014,0.009465404002424436,0.0022540250660243455,,0.4258237773939816
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.067,1.1,0.01,0.3,0.06919008167183723,0.27675413993653003,0.00553393365240811,0.026495736263667382,0.042292592159403626,0.042292592159403626,0.3530807319294417,2.832213455929496,0.0029425976852591375,0.0006598136359881601,0.004999999996610841,0.405848976338923
A,Architecture A: Standard Optimization,optimal,True,0.0665,1.1,0.01,0.3,0.07019999996495652,0.28257139180115276,0.028680884269267334,0.158113880502128,0.2999999944240228,0.2999999944240228,0.3549999986551917,2.8169014191216686,7.174856046064266e-09,1.1381557363243644e-09,,0.44999999843894584
B,Architecture B: Stronger Single-Stage,optimal,True,0.0665,1.1,0.01,0.3,0.06934215532020108,0.27859555114048784,0.009999993365182919,0.053798638414784855,0.09874616339587815,0.09874616339587815,0.3643280773845084,2.744778846524665,0.006931067779518758,0.0016564933794213088,,0.42671836177855416
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0665,1.1,0.01,0.3,0.06899544454376658,0.27677156636596983,0.005598668139731432,0.026863875009674378,0.04288640299108733,0.04288640299108733,0.3529302343285369,2.833421177141533,0.003038485102681618,0.0006780412053593032,0.004999999997598787,0.40615922077440747
A,Architecture A: Standard Optimization,optimal,True,0.066,1.1,0.01,0.3,0.07004999967866189,0.28257139016839605,0.028680880140318315,0.1581138559268488,0.29999994390605383,0.29999994390605383,0.3549999896645884,2.8169014904615106,9.021286464059167e-08,1.43205664548951e-08,,0.44999998605529784
B,Architecture B: Stronger Single-Stage,optimal,True,0.066,1.1,0.01,0.3,0.0691474111381884,0.2785667040407151,0.009999988095799925,0.054344786319220025,0.10131511534846957,0.10131511534846957,0.36377014472395003,2.7489886525978053,0.00788482169616819,0.0018905419738633467,,0.42761734022073794
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.066,1.1,0.01,0.3,0.06880167408282978,0.2767900725925499,0.0056682155867354925,0.02726741347959121,0.04442478656717371,0.04442478656717371,0.3527774371102253,2.8346484066313744,0.0031278837323447817,0.0006973973960551771,0.0049999999951939956,0.4064786178623812
A,Architecture A: Standard Optimization,optimal,True,0.0655,1.1,0.01,0.3,0.06989999997251076,0.28257139184865354,0.02868088438512644,0.15811388131165138,0.2999999961415791,0.2999999961415791,0.35499999898253787,2.816901416524199,9.33417745669331e-08,1.4863571984324864e-08,,0.4499999989983475
B,Architecture B: Stronger Single-Stage,optimal,True,0.0655,1.1,0.01,0.3,0.06895391086590182,0.2785229591262604,0.009999996952977312,0.05523476798650724,0.10485387960666051,0.10485387960666051,0.363074078412497,2.754258867425607,0.011045520996147144,0.0026380002033438155,,0.42901560744198874
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0655,1.1,0.01,0.3,0.06860914131192221,0.2768109557900992,0.005747565339956982,0.02773042894762084,0.04604749157531683,0.04604749157531683,0.35262911412550796,2.835840717462936,0.0032716921958781666,0.0007190378947791176,0.004999999994925565,0.40681315424050457
A,Architecture A: Standard Optimization,optimal,True,0.065,1.1,0.01,0.3,0.06974999987639961,0.2825713913190939,0.02868088309702279,0.15811387405114027,0.2999999811187324,0.2999999811187324,0.35499999615080885,2.8169014389937805,2.672486851607046e-08,4.167981321190339e-09,,0.44999999565491094
B,Architecture B: Stronger Single-Stage,optimal,True,0.065,1.1,0.01,0.3,0.06876153127982063,0.27848837150413214,0.009999999678346999,0.05597848226186558,0.10740350019155218,0.10740350019155218,0.3626264589589006,2.757658674082958,0.008136657958337224,0.0019323611378103678,,0.4301503282471174
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.065,1.1,0.01,0.3,0.06841772362350448,0.2768334480197694,0.00583476245705772,0.028243271816434923,0.04773984466048893,0.04773984466048893,0.35248126106000033,2.8370302494741053,0.003399835655337414,0.0007424375227463309,0.004999999998793493,0.4071609785977438
A,Architecture A: Standard Optimization,optimal,True,0.0645,1.1,0.01,0.3,0.06959999998899628,0.28257139194199177,0.028680884596359917,0.1581138825250144,0.29999999872852096,0.29999999872852096,0.3549999995281997,2.816901412194408,3.1261031316733536e-08,4.825820770770761e-09,,0.44999999963397835
B,Architecture B: Stronger Single-Stage,optimal,True,0.0645,1.1,0.01,0.3,0.06857027318637136,0.27843705002723046,0.00999999914567688,0.05681641436624068,0.11022524903211041,0.11022524903211041,0.3619092787229376,2.763123409072796,0.009751819815133615,0.0023334473787223198,,0.43122941540710236
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0645,1.1,0.01,0.3,0.06822742182045048,0.27685753327422,0.005929150311852181,0.028804501225076808,0.049499887924519065,0.049499887924519065,0.3523326258535249,2.8382270803832106,0.0035280980968744645,0.0007674119034106752,0.0049999999998399484,0.407522042420915
A,Architecture A: Standard Optimization,optimal,True,0.064,1.1,0.01,0.3,0.06944999998907346,0.28257139194613146,0.028680884578087585,0.15811388236001964,0.2999999984951908,0.2999999984951908,0.3549999995851873,2.8169014117422155,9.72521520822936e-10,2.330719506282719e-10,,0.4499999995726706
B,Architecture B: Stronger Single-Stage,optimal,True,0.064,1.1,0.01,0.3,0.0683799995814779,0.2783991830367494,0.009999999534294738,0.057500114747975666,0.11221635876624245,0.11221635876624245,0.36148919771372157,2.76633439207758,0.006952464210703884,0.0016507832712095993,,0.4321458115123493
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.064,1.1,0.01,0.3,0.0680380995835763,0.2768821995228037,0.006029651897501084,0.029403318830439732,0.051308960504642245,0.051308960504642245,0.35217950418144134,2.8394610933542697,0.003632344486258786,0.0007924383193065321,0.0049999999999153525,0.40789368647290797
A,Architecture A: Standard Optimization,optimal,True,0.0635,1.1,0.01,0.3,0.06929999999509721,0.28257139198584313,0.028680884608132402,0.15811388250198724,0.29999999907589797,0.29999999907589797,0.3549999999353241,2.8169014089639033,1.974078433637851e-09,4.709152480285132e-10,,0.44999999981422867
B,Architecture B: Stronger Single-Stage,optimal,True,0.0635,1.1,0.01,0.3,0.06819049446757112,0.2783566754286845,0.009999999690750331,0.05792948671911843,0.11365263147856869,0.11365263147856869,0.36086046640440445,2.771154208062606,0.0059666476698128895,0.0014301141005506612,,0.43250412962100054
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0635,1.1,0.01,0.3,0.06784954199528441,0.27690603852726714,0.006132404794346196,0.030023724883254218,0.05313795153282855,0.05313795153282855,0.35201730252714863,2.840769453151744,0.0036960141652488433,0.0008155236605582594,0.004999999999250036,0.4082714802882214
A,Architecture A: Standard Optimization,optimal,True,0.063,1.1,0.01,0.3,0.06914999998341277,0.28257139190867,0.028680884528085426,0.15811388226421283,0.2999999981671696,0.2999999981671696,0.3549999993797833,2.8169014133720824,3.643700942077937e-09,8.737901149480484e-10,,0.4499999996224708
B,Architecture B: Stronger Single-Stage,optimal,True,0.063,1.1,0.01,0.3,0.0680018509985707,0.27827907062983215,0.009999998960954307,0.059000891011896726,0.11646670489321388,0.11646670489321388,0.36001704150008973,2.7776462909457877,0.011226397712987793,0.002672006607296107,,0.4337447149623424
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.063,1.1,0.01,0.3,0.06766184174358279,0.27692957636732496,0.006238411110708619,0.030670406791755905,0.05499328389360171,0.05499328389360171,0.351847359925723,2.8421415474343923,0.003768487458923396,0.0008388010066809337,0.004999999999927274,0.40865635042875875
A,Architecture A: Standard Optimization,optimal,True,0.0625,1.1,0.01,0.3,0.06899999996499347,0.282571391782082,0.02868088442142038,0.15811388190397832,0.2999999965984804,0.2999999965984804,0.35499999836108675,2.816901421455372,6.213966336863062e-09,1.4892249038001757e-09,,0.449999999113479
B,Architecture B: Stronger Single-Stage,optimal,True,0.0625,1.1,0.01,0.3,0.06781449784036975,0.2782272728897668,0.009999981252233493,0.05983414071303591,0.11834570471264842,0.11834570471264842,0.3595716646953986,2.7810867712480154,0.0076252253231035225,0.00176530320897883,,0.4347515473723041
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0625,1.1,0.01,0.3,0.06747542535116387,0.27695466906407584,0.006352789211233724,0.03136993765417622,0.05692167698898122,0.05692167698898122,0.3516762409911349,2.843524479167781,0.0039091413237795185,0.000867205594588194,0.005000000000059445,0.40905572350161723
A,Architecture A: Standard Optimization,optimal,True,0.062,1.1,0.01,0.3,0.06884999995021708,0.28257139170145784,0.02868088423920919,0.15811388099995793,0.29999999470098376,0.29999999470098376,0.3549999979567115,2.8169014246640627,3.532419968051262e-09,6.363121418662132e-10,,0.4499999988010436
B,Architecture B: Stronger Single-Stage,optimal,True,0.062,1.1,0.01,0.3,0.06762789356837,0.2781752440080589,0.009999999424817064,0.06050112643949881,0.11981036852178709,0.11981036852178709,0.3590675643163695,2.7849911809881935,0.0064971073615597945,0.001540902005165934,,0.4354471528484913
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.062,1.1,0.01,0.3,0.06728975410052104,0.27697834025531654,0.00646862100712166,0.032084857911626255,0.05885457131330811,0.05885457131330811,0.3514945056092912,2.8449946842456892,0.003950630679340531,0.000888448568704403,0.005000000000105064,0.40945877163170186
A,Architecture A: Standard Optimization,optimal,True,0.0615,1.1,0.01,0.3,0.06869999994321178,0.28257139161275213,0.028680884200036692,0.15811388154295944,0.2999999952572382,0.2999999952572382,0.35499999744388433,2.8169014287333125,7.196283432549717e-09,1.4939772752242675e-09,,0.44999999941228175
B,Architecture B: Stronger Single-Stage,optimal,True,0.0615,1.1,0.01,0.3,0.06744199811011002,0.2781281681282264,0.009999998855934066,0.061017597829110905,0.12090260161030232,0.12090260161030232,0.3585915024639113,2.7886885024573056,0.005328797091528529,0.0012653431504878188,,0.4359225410477779
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0615,1.1,0.01,0.3,0.06710478811955102,0.2770004660366979,0.006585024488729673,0.032811150869958526,0.0607825159452805,0.0607825159452805,0.3513017354422048,2.846555821141161,0.0039769678384718385,0.0009074681308560151,0.005000000000125305,0.40986383072593063
A,Architecture A: Standard Optimization,optimal,True,0.061,1.1,0.01,0.3,0.06854999995726381,0.28257139178128565,0.02868088426753636,0.15811388061913337,0.2999999944954421,0.2999999944954421,0.35499999850341457,2.81690142032601,1.284628789847073e-08,2.692500000733844e-09,,0.44999999849848105
B,Architecture B: Stronger Single-Stage,optimal,True,0.061,1.1,0.01,0.3,0.06725680380486819,0.2780764385998714,0.009999999518147555,0.061764773629766165,0.12225415317825257,0.12225415317825257,0.3582555764315768,2.7913033760996875,0.006639807354921976,0.0014426605295166373,,0.4368166233774401
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.061,1.1,0.01,0.3,0.06692051978584147,0.2770209415314586,0.006700983951212757,0.033547031349582354,0.06270020293828991,0.06270020293828991,0.35109817805981264,2.8482061784713713,0.003993914697792807,0.0009245328050891399,0.005000000000035327,0.4102698611077378
A,Architecture A: Standard Optimization,optimal,True,0.0605,1.1,0.01,0.3,0.06839999977188996,0.28257139063973596,0.028680882427430124,0.1581138728405599,0.2999999749824676,0.2999999749824676,0.35499999150512745,2.816901475856955,4.626149283883877e-08,1.1013845765347703e-08,,0.4499999950843883
B,Architecture B: Stronger Single-Stage,optimal,True,0.0605,1.1,0.01,0.3,0.06707234974111448,0.27802075835748963,0.009999989681462079,0.06245106848113513,0.12344000663266191,0.12344000663266191,0.3578299006792536,2.79462392075604,0.006332257724838733,0.0014196464298685818,,0.43754510879792974
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0605,1.1,0.01,0.3,0.06673698799231405,0.27703989965515813,0.006817697263621412,0.0342937842857898,0.06460829820841654,0.06460829820841654,0.35088480465165056,2.8499381755581417,0.004010245130548819,0.0009404472291126287,0.005000000001414268,0.4106768007016017
A,Architecture A: Standard Optimization,optimal,True,0.06,1.1,0.01,0.3,0.06824999999138039,0.28257139191372005,0.02868088464836549,0.15811388319233077,0.2999999996796804,0.2999999996796804,0.35499999928056136,2.816901414159402,5.1174794453448435e-08,1.1733021812051727e-08,,0.4500000000106168
B,Architecture B: Stronger Single-Stage,optimal,True,0.06,1.1,0.01,0.3,0.06688858006784278,0.27796200339798827,0.009999999286329801,0.06288393753628248,0.12421608092158577,0.12421608092158577,0.3571744526233779,2.7997523133448983,0.005384521474899618,0.0012709345707196396,,0.43774979893613875
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.06,1.1,0.01,0.3,0.06655413716728573,0.2770569380781328,0.006932873221042501,0.03504671169553718,0.06649647040809081,0.06649647040809081,0.3506613711349101,2.851754091885044,0.00402817565755736,0.0009534810922645631,0.005000000003256699,0.4110827560372965
A,Architecture A: Standard Optimization,optimal,True,0.07,1.1,0.01,0.4,0.0712499999555793,0.2814143680175505,0.029192420343248617,0.13498849018334852,0.24457158799150916,0.24457158799150916,0.34822189160462547,2.8717321458221523,,,,0.4222857956261451
B,Architecture B: Stronger Single-Stage,optimal,True,0.07,1.1,0.01,0.4,0.07073207104946613,0.2786586210386645,0.009999987401725727,0.05041562052707397,0.08454813911505879,0.08454813911505879,0.3673375828730852,2.7222915558452376,,,,0.4188760594612415
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.07,1.1,0.01,0.4,0.07037841069529842,0.276684839157156,0.0052932366138349835,0.02522737968656041,0.04204563353634119,0.04204563353634119,0.3540455480459847,2.82449533829505,,,0.004999999984736542,0.4042045645853415
A,Architecture A: Standard Optimization,optimal,True,0.0695,1.1,0.01,0.4,0.07112499999425803,0.28372709505747806,0.03358558107587659,0.21213203041816128,0.3999999931442709,0.3999999931442709,0.37499999826705877,2.6666666789898046,0.7605062871634527,0.1722857931641198,,0.4999999967504361
B,Architecture B: Stronger Single-Stage,optimal,True,0.0695,1.1,0.01,0.4,0.07053062478691641,0.27866434764954306,0.009999996833335986,0.05078255871458699,0.08417803721545808,0.08417803721545808,0.3670119776648089,2.7247067149217057,0.0075975183707570745,0.001800951873531853,,0.420025554345203
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0695,1.1,0.01,0.4,0.07017797166463276,0.27669212109157804,0.005314336968579772,0.025328608048974573,0.0420086398210375,0.0420086398210375,0.3538735355980735,2.825868281757558,0.0025202173245468676,0.0005977608778279242,0.00499999997659269,0.4044554639107103
A,Architecture A: Standard Optimization,optimal,True,0.069,1.1,0.01,0.4,0.07099999998211741,0.2837270949586619,0.03358558076107642,0.21213202796081546,0.39999998865398007,0.39999998865398007,0.37499999721338134,2.6666666864826216,8.937045068557223e-09,1.8450999617058983e-09,,0.4999999950431259
B,Architecture B: Stronger Single-Stage,optimal,True,0.069,1.1,0.01,0.4,0.0703300253994202,0.27866230413060444,0.009999983168881153,0.051121726927538184,0.08361083235684477,0.08361083235684477,0.3665631239954257,2.72804309691686,0.007566305492634316,0.0018082308107604805,,0.4209803934000102
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.069,1.1,0.01,0.4,0.06997837527689871,0.27670061873893703,0.005342375107590127,0.025466683777867424,0.04199408842525741,0.04199408842525741,0.35370456381599996,2.827218255855495,0.002564804556977501,0.0006072251042996135,0.004999999936362699,0.40471362853613235
A,Architecture A: Standard Optimization,optimal,True,0.0685,1.1,0.01,0.4,0.07087499996738215,0.28372709493130144,0.033585580924748254,0.212132030354743,0.39999999201371816,0.39999999201371816,0.3749999979005529,2.6666666815960687,1.238842657780944e-08,2.558483647163712e-09,,0.4999999972960836
B,Architecture B: Stronger Single-Stage,optimal,True,0.0685,1.1,0.01,0.4,0.07013032465298664,0.27865901333623616,0.009999984126623871,0.05159049021495774,0.08642118061334755,0.08642118061334755,0.366238444335292,2.7304615762415647,0.007947593359397351,0.0018816884944570789,,0.42222830241100495
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0685,1.1,0.01,0.4,0.06977967303125542,0.27671051169678956,0.005377297352177211,0.025644950081282505,0.04200545861472202,0.04200545861472202,0.35353910195631905,2.828541438461744,0.002626577547400707,0.0006178250521614026,0.004999999978130662,0.4049800328669799
A,Architecture A: Standard Optimization,optimal,True,0.068,1.1,0.01,0.4,0.0707499998690049,0.28372709433353926,0.03358557990479282,0.21213202472390083,0.39999997835424317,0.39999997835424317,0.37499999359944586,2.666666712181719,2.6036901702775092e-08,5.12952470889372e-09,,0.4999999938233892
B,Architecture B: Stronger Single-Stage,optimal,True,0.068,1.1,0.01,0.4,0.06993178969643775,0.27864720807505455,0.009999982550040903,0.052234899505650176,0.0904983040524264,0.0904983040524264,0.36569000139,2.7345565812545223,0.010570043991586908,0.002518961772006001,,0.42370872622192546
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.068,1.1,0.01,0.4,0.06958213074801024,0.2767231062253489,0.005422138837727638,0.025881160001151593,0.04206944021194349,0.04206944021194349,0.3533825652104939,2.829794388425319,0.002738093101496006,0.0006288590704215946,0.004999999999218054,0.4052586801696414
A,Architecture A: Standard Optimization,optimal,True,0.0675,1.1,0.01,0.4,0.07062499984043497,0.2837270941009436,0.033585579114717684,0.21213201666475573,0.3999999640423136,0.3999999640423136,0.3749999894902667,2.6666667414025502,3.208675551877623e-08,7.4244770331688414e-09,,0.4999999863989122
B,Architecture B: Stronger Single-Stage,optimal,True,0.0675,1.1,0.01,0.4,0.06973430404489007,0.2786343451055569,0.009999988682589587,0.05262552029996185,0.0929268084277802,0.0929268084277802,0.3652411409895554,2.737917194351872,0.006671250373593489,0.0015999652473724368,,0.4244833345713317
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.0675,1.1,0.01,0.4,0.06938563252472106,0.2767378071312474,0.005474925170686711,0.026167139071465284,0.04216988765993114,0.04216988765993114,0.353230909659256,2.831009327481135,0.002844172114453909,0.0006431594761359127,0.004999999999205032,0.40554866960534425
A,Architecture A: Standard Optimization,optimal,True,0.067,1.1,0.01,0.4,0.07049999986780033,0.28372709435594984,0.03358558003906184,0.21213202555606786,0.3999999796844807,0.3999999796844807,0.3749999936579147,2.6666667117659406,3.3763260836902155e-08,7.643911004162618e-09,,0.4999999940428232
B,Architecture B: Stronger Single-Stage,optimal,True,0.067,1.1,0.01,0.4,0.06953777051162315,0.27861520251614846,0.009999997613589568,0.05330366901151182,0.09635831334568697,0.09635831334568697,0.36474853299081905,2.7416148649052157,0.009465396256741648,0.0022540220760606244,,0.4258237770102672
C,Architecture C: Stronger Single-Stage + Lexicographic Stage 2,optimal,True,0.067,1.1,0.01,0.4,0.06919008165948938,0.2767541398821458,0.005533933414229763,0.026495735424956295,0.04229259112965231,0.04229259112965231,0.35308073206406826,2.832213454849598,0.0029426323945202443,0.0006598130957438664,0.004999999993897552,0.4058489771597179
A,Architecture A: Standard Optimization,optimal,True,0.0665,1.1,0.01,0.4,0.07037499998564208,0.283727095080867,0.03358558136099151,0.21213203368138184,0.3999999982422531,0.3999999982422531,0.3749999994245629,2.666666670758664,3.407531746821085e-08,5.960823143753566e-09,,0.4999999996153035
B,Architecture B: Stronger Single-Stage,optimal,True,0.0665,1.1,0.01,0.4,0.0693421552384863,0.2785955506475054,0.00999999226455,0.05379863164703499,0.09874615215956788,0.09874615215956788,0.3643280729810746,2.7447788796993033,0.0069310654763535045,0.0016564930949714007,,0.4267183562869489
