date,strategy_return,benchmark_return,excess_return,n_selected,n_available,selection_mode,strategy_equity,benchmark_equity,excess_equity
2018-03-31,-0.01004275181327555,-0.005812820961308914,-0.004229930851966636,7,30,high_only,2.7629435484412457,2.260662600835794,1.222183065893934
2018-04-30,-0.0626446854774645,-0.04633969038359834,-0.01630499509386616,7,30,high_only,2.589859818857154,2.1559041958512832,1.2012870626816137
2018-05-31,-0.027735776978874034,-0.028706926327159526,0.0009711493482854917,7,30,high_only,2.518028044514785,2.094014812932566,1.202488171985951
2018-06-30,0.03128411444854872,0.04516737874479437,-0.013883264296245652,13,30,high_only,2.5968023220440406,2.1885959730855014,1.18651516953266
2018-07-31,-0.060637506296438486,-0.041743161187606195,-0.01889434510883229,11,30,high_only,2.439338704890489,2.0972370586064475,1.1631201608230963
2018-08-31,0.02505332183037438,0.005466616793114521,0.019586705037259858,12,30,high_only,2.5004522425173987,2.1087018499301675,1.1857779906629307
2018-09-30,-0.09079960579232688,-0.07283635122011649,-0.017963254572210388,12,30,high_only,2.2734121645942795,1.9551117013701445,1.1628042341524885
2018-10-31,0.021853936709551373,0.024862265585562406,-0.003008328876011032,14,30,high_only,2.323095170154047,2.00372020773905,1.159390997396474
2018-11-30,-0.02906461369186191,-0.03795507278750169,0.008890459095639777,14,30,high_only,2.2555753064640895,1.9276688614085262,1.1701051729475807
2018-12-31,0.09687512351061904,0.08697415332266455,0.009900970187954494,17,30,high_only,2.474084442865301,2.0953262285159973,1.1807633623798797
2019-01-31,0.00636856576240676,0.0060568128196051545,0.0003117529428016052,12,30,high_only,2.4898408123414364,2.108017227278128,1.1811292527036503
2019-02-28,-0.011966702654032083,-0.002908974398316681,-0.009057728255715401,12,30,high_only,2.4600456276842726,2.1018850591327656,1.1703996928829608
2019-03-31,0.02768407107415094,0.02265019434111801,0.005033876733032929,13,30,high_only,2.528149705686738,2.1494931642048147,1.1761608493516673
2019-04-30,-0.039942937632966025,-0.047613563249266605,0.00767062561630058,8,30,high_only,2.427167979665691,2.047148135477083,1.1856337788178897
2019-05-31,0.06877288165507921,0.05984478630555423,0.008928095349524975,14,30,high_only,2.5940913158882375,2.169659278180523,1.1956215162334813
2019-06-30,-0.017468664349414038,-0.021887009529179893,0.004418345179765856,12,30,high_only,2.548776005399256,2.1221719248839124,1.2010223938565578
2019-07-31,-0.04737400311816073,-0.04202060241285509,-0.0053534007053056415,13,30,high_only,2.428030282971978,2.032996982176642,1.1943108151456234
2019-08-31,0.03543059598513643,0.027072132454934235,0.008358463530202198,15,30,high_only,2.5140568429676344,2.08803454575861,1.2040302915842063
2019-09-30,0.01554010721491026,0.026195311751985154,-0.010655204537074893,11,30,high_only,2.55312555585173,2.142731261633671,1.1915285885665214
